Title,Note,URL,Comment
Chatuchak Weekend Market,,https://www.google.com/maps/place/Chatuchak+Weekend+Market/data=!4m2!3m1!1s0x30e29c14e883f8dd:0x91f191d784b87d4b,
Empanadas Alchemy,,https://www.google.com/maps/place/Empanadas+Alchemy/data=!4m2!3m1!1s0x8869753cd43c9e61:0xe4ba48545a07d04d,
Passtime Fish House,,https://www.google.com/maps/place/Passtime+Fish+House/data=!4m2!3m1!1s0x8869a1b3c6c4cd29:0x5fd3d86e775caab1,
"Wine, Beer, and Spirits",,"https://www.google.com/maps/place/Wine,+Beer,+and+Spirits/data=!4m2!3m1!1s0x8793f3c850a794ed:0xb777a755eef40fa3",
Back Deck BBQ,,https://www.google.com/maps/place/Back+Deck+BBQ/data=!4m2!3m1!1s0x88691364beea9e7d:0x9d914b6d88a65b5e,
The Boiler Seafood Atlanta,Seafood brunch,https://www.google.com/maps/place/The+Boiler+Seafood+Atlanta/data=!4m2!3m1!1s0x88f50595889bc519:0xc700ce86ad0cf51a,
Gorilla Bob's Grub Shack,,https://www.google.com/maps/place/Gorilla+Bob's+Grub+Shack/data=!4m2!3m1!1s0x886917654044584d:0x5e2e760f293c7f,
Crescent Hill Reservoir,,https://www.google.com/maps/place/Crescent+Hill+Reservoir/data=!4m2!3m1!1s0x886974a230000007:0x796b5447c7586e30,
Bakery Bar,Chocolate chip beignet,https://www.google.com/maps/place/Bakery+Bar/data=!4m2!3m1!1s0x8620a67a739faccd:0x13c96b7dd87bdfac,
Turkey and the Wolf,Pot pie and cheap cocktails,https://www.google.com/maps/place/Turkey+and+the+Wolf/data=!4m2!3m1!1s0x8620a6800491c2b5:0x3adc0fd5ca546eff,
Central Grocery and Deli,Muffuletta ,https://www.google.com/maps/place/Central+Grocery+and+Deli/data=!4m2!3m1!1s0x8620a61131a3dfcb:0xa05b8a5f7ac971db,
The Camellia Grill,Diner food,https://www.google.com/maps/place/The+Camellia+Grill/data=!4m2!3m1!1s0x8620a53c3842d9a5:0x116aed81c13ee1c9,
Domilise's Po-Boy & Bar,Shrimp or surf n turf po boy,https://www.google.com/maps/place/Domilise's+Po-Boy+%26+Bar/data=!4m2!3m1!1s0x8620a4f80b3c4337:0x5fdfb6094460061c,
Bywater Bakery,Yaka mein,https://www.google.com/maps/place/Bywater+Bakery/data=!4m2!3m1!1s0x8620a62d7aeeff9b:0x80a500250858e17,
Willie Mae's Scotch House,Delicious fried chicken,https://www.google.com/maps/place/Willie+Mae's+Scotch+House/data=!4m2!3m1!1s0x8620a5feb03315c3:0xee50d522fde06e0e,
Verti Marte,24/7,https://www.google.com/maps/place/Verti+Marte/data=!4m2!3m1!1s0x8620a610af6a2caf:0x16e87d87874041b5,
Eat-Well Food Mart,Low key no frill Viet food,https://www.google.com/maps/place/Eat-Well+Food+Mart/data=!4m2!3m1!1s0x145eda990a91b259:0xb8edcea0cc5db237,
Seafood Sally's,Vietnamese Cajun food on bon appetit site,https://www.google.com/maps/place/Seafood+Sally's/data=!4m2!3m1!1s0x8620a5ca9dca4c81:0x8010b472e1a1b3f4,
Mister Mao,Unauthentic food on bon appetit site,https://www.google.com/maps/place/Mister+Mao/data=!4m2!3m1!1s0x8620a5cf5f7dc4c3:0xb5e5bb65772a299d,
Ma Der Lao Kitchen,Lao food on bon appetit site,https://www.google.com/maps/place/Ma+Der+Lao+Kitchen/data=!4m2!3m1!1s0x87b211e42661e077:0xa5e4ca95d55a9861,
Tteuran Tea House,,https://www.google.com/maps/place/Tteuran+Tea+House/data=!4m2!3m1!1s0x357ca2ddac6ff1f5:0x34fd9b3d79a8f34b,
