Title,Note,URL,Comment
Black Rabbit,,https://www.google.com/maps/place/Black+Rabbit/data=!4m2!3m1!1s0x8869756008988861:0x36d4da75decb4e60,
Afrokanza Lounge,,https://www.google.com/maps/place/Afrokanza+Lounge/data=!4m2!3m1!1s0x88690d65f63125fb:0xec5c08d7b5640b64,
Tortilleria Y Taqueria Ramirez,,https://www.google.com/maps/place/Tortilleria+Y+Taqueria+Ramirez/data=!4m2!3m1!1s0x884243174b2935eb:0xfef61eeeebd97929,
Darling's,,https://www.google.com/maps/place/Darling's/data=!4m2!3m1!1s0x88690d5e5e36f643:0x85429aba6e4d9179,
Hell or High Water,,https://www.google.com/maps/place/Hell+or+High+Water/data=!4m2!3m1!1s0x886972bc19a9722f:0xb77a7887bb801448,
Copper & Kings Rooftop Bar & Restaurant,,https://www.google.com/maps/place/Copper+%26+Kings+Rooftop+Bar+%26+Restaurant/data=!4m2!3m1!1s0x88697385cd54eb23:0xf605b4c963d2eee3,
La Perseverancia distrital marketplace,Street food?,https://www.google.com/maps/place/La+Perseverancia+distrital+marketplace/data=!4m2!3m1!1s0x8e3f999ab1cfebe9:0x62824d653bde1795,
Rosticeria Doña Coco,Chicken feet?,https://www.google.com/maps/place/Rosticeria+Do%C3%B1a+Coco/data=!4m2!3m1!1s0x88424327a9ba4387:0x5bd7cc9ed41952c3,
Galan's Meat Market & Deli,,https://www.google.com/maps/place/Galan's+Meat+Market+%26+Deli/data=!4m2!3m1!1s0x88696d771c2279bd:0xcd7413ebf21e03f0,
The Limbo,,https://www.google.com/maps/place/The+Limbo/data=!4m2!3m1!1s0x886972ae3300a3fb:0xc2bd420ae0343c8b,
Spare Time Des Moines,,https://www.google.com/maps/place/Spare+Time+Des+Moines/data=!4m2!3m1!1s0x87ec2163ffd3f595:0xe36ecd75e7728471,
Hola Havana Cuban Restaurant,,https://www.google.com/maps/place/Hola+Havana+Cuban+Restaurant/data=!4m2!3m1!1s0x88425badbf4c0d31:0x4d89944e9316d227,
Kim Son,Vietnamese buffet,https://www.google.com/maps/place/Kim+Son/data=!4m2!3m1!1s0x8640dd317851c7f1:0x2ab29abc9bc13af7,
Fiesta Mexican Restaurant,,https://www.google.com/maps/place/Fiesta+Mexican+Restaurant/data=!4m2!3m1!1s0x87eea35ef80e2ef3:0x142001fe05a3c2c,
Hill Street Fish Fry,,https://www.google.com/maps/place/Hill+Street+Fish+Fry/data=!4m2!3m1!1s0x88690d44b8250081:0x5c30190bad213e41,
West Hill Deli,Filipino,https://www.google.com/maps/place/West+Hill+Deli/data=!4m2!3m1!1s0x549059682d5f4ef1:0x672e5e7743ff42d9,
Matsuya Japanese Restaurant,Ankimo,https://www.google.com/maps/place/Matsuya+Japanese+Restaurant/data=!4m2!3m1!1s0x8841c776011000d3:0x224ace172b029b4f,
Trouble Bar,,https://www.google.com/maps/place/Trouble+Bar/data=!4m2!3m1!1s0x88690decaa539d27:0xd4b3623925987173,
Kentucky Kombucha,,https://www.google.com/maps/place/Kentucky+Kombucha/data=!4m2!3m1!1s0x886831a05857e26f:0x2f31bdfff955e084,
